candidate,votes,region,oblast
Путин Владимир Владимирович,19103,Краснодарский край,Тбилисская
Собчак Ксения Анатольевна,156,Краснодарский край,Тбилисская
Сурайкин Максим Александрович,154,Краснодарский край,Тбилисская
Титов Борис Юрьевич,89,Краснодарский край,Тбилисская
Явлинский Григорий Алексеевич,54,Краснодарский край,Тбилисская
Бабурин Сергей Николаевич,315,Краснодарский край,Темрюкская
Грудинин Павел Николаевич,7328,Краснодарский край,Темрюкская
Жириновский Владимир Вольфович,3626,Краснодарский край,Темрюкская
Путин Владимир Владимирович,48947,Краснодарский край,Темрюкская
Собчак Ксения Анатольевна,520,Краснодарский край,Темрюкская
Сурайкин Максим Александрович,398,Краснодарский край,Темрюкская
Титов Борис Юрьевич,390,Краснодарский край,Темрюкская
Явлинский Григорий Алексеевич,266,Краснодарский край,Темрюкская
Бабурин Сергей Николаевич,241,Краснодарский край,Тимашевская
Грудинин Павел Николаевич,7211,Краснодарский край,Тимашевская
Жириновский Владимир Вольфович,3036,Краснодарский край,Тимашевская
Путин Владимир Владимирович,44761,Краснодарский край,Тимашевская
Собчак Ксения Анатольевна,368,Краснодарский край,Тимашевская
Сурайкин Максим Александрович,321,Краснодарский край,Тимашевская
Титов Борис Юрьевич,284,Краснодарский край,Тимашевская
Явлинский Григорий Алексеевич,170,Краснодарский край,Тимашевская
Бабурин Сергей Николаевич,180,Краснодарский край,Тихорецкая районная
Грудинин Павел Николаевич,2361,Краснодарский край,Тихорецкая районная
Жириновский Владимир Вольфович,1444,Краснодарский край,Тихорецкая районная
Путин Владимир Владимирович,33894,Краснодарский край,Тихорецкая районная
Собчак Ксения Анатольевна,219,Краснодарский край,Тихорецкая районная
Сурайкин Максим Александрович,208,Краснодарский край,Тихорецкая районная
Титов Борис Юрьевич,209,Краснодарский край,Тихорецкая районная
Явлинский Григорий Алексеевич,145,Краснодарский край,Тихорецкая районная
Бабурин Сергей Николаевич,123,Краснодарский край,Тихорецкая городская
Грудинин Павел Николаевич,2529,Краснодарский край,Тихорецкая городская
Жириновский Владимир Вольфович,1783,Краснодарский край,Тихорецкая городская
Путин Владимир Владимирович,39199,Краснодарский край,Тихорецкая городская
Собчак Ксения Анатольевна,200,Краснодарский край,Тихорецкая городская
Сурайкин Максим Александрович,151,Краснодарский край,Тихорецкая городская
Титов Борис Юрьевич,123,Краснодарский край,Тихорецкая городская
Явлинский Григорий Алексеевич,140,Краснодарский край,Тихорецкая городская
Бабурин Сергей Николаевич,154,Краснодарский край,Туапсинская районная
Грудинин Павел Николаевич,3738,Краснодарский край,Туапсинская районная
Жириновский Владимир Вольфович,1315,Краснодарский край,Туапсинская районная
Путин Владимир Владимирович,28735,Краснодарский край,Туапсинская районная
Собчак Ксения Анатольевна,246,Краснодарский край,Туапсинская районная
Сурайкин Максим Александрович,197,Краснодарский край,Туапсинская районная
Титов Борис Юрьевич,180,Краснодарский край,Туапсинская районная
Явлинский Григорий Алексеевич,165,Краснодарский край,Туапсинская районная
Бабурин Сергей Николаевич,236,Краснодарский край,Туапсинская городская
Грудинин Павел Николаевич,4336,Краснодарский край,Туапсинская городская
Жириновский Владимир Вольфович,1674,Краснодарский край,Туапсинская городская
Путин Владимир Владимирович,29086,Краснодарский край,Туапсинская городская
Собчак Ксения Анатольевна,453,Краснодарский край,Туапсинская городская
Сурайкин Максим Александрович,253,Краснодарский край,Туапсинская городская
Титов Борис Юрьевич,254,Краснодарский край,Туапсинская городская
Явлинский Григорий Алексеевич,280,Краснодарский край,Туапсинская городская
Бабурин Сергей Николаевич,88,Краснодарский край,Успенская
Грудинин Павел Николаевич,2031,Краснодарский край,Успенская
Жириновский Владимир Вольфович,1012,Краснодарский край,Успенская
Путин Владимир Владимирович,22510,Краснодарский край,Успенская
Собчак Ксения Анатольевна,100,Краснодарский край,Успенская
Сурайкин Максим Александрович,75,Краснодарский край,Успенская
Титов Борис Юрьевич,84,Краснодарский край,Успенская
Явлинский Григорий Алексеевич,48,Краснодарский край,Успенская
Бабурин Сергей Николаевич,302,Краснодарский край,Усть-Лабинская
Грудинин Павел Николаевич,8064,Краснодарский край,Усть-Лабинская
Жириновский Владимир Вольфович,3079,Краснодарский край,Усть-Лабинская
Путин Владимир Владимирович,48407,Краснодарский край,Усть-Лабинская
Собчак Ксения Анатольевна,414,Краснодарский край,Усть-Лабинская
Сурайкин Максим Александрович,373,Краснодарский край,Усть-Лабинская
Титов Борис Юрьевич,272,Краснодарский край,Усть-Лабинская
Явлинский Григорий Алексеевич,209,Краснодарский край,Усть-Лабинская
Бабурин Сергей Николаевич,131,Краснодарский край,Щербиновская
Грудинин Павел Николаевич,2932,Краснодарский край,Щербиновская
Жириновский Владимир Вольфович,1399,Краснодарский край,Щербиновская
Путин Владимир Владимирович,14443,Краснодарский край,Щербиновская
Собчак Ксения Анатольевна,144,Краснодарский край,Щербиновская
Сурайкин Максим Александрович,133,Краснодарский край,Щербиновская
Титов Борис Юрьевич,75,Краснодарский край,Щербиновская
Явлинский Григорий Алексеевич,59,Краснодарский край,Щербиновская
Бабурин Сергей Николаевич,105,Краснодарский край,Новороссийск, Южная
Грудинин Павел Николаевич,3871,Краснодарский край,Новороссийск, Южная
Жириновский Владимир Вольфович,1724,Краснодарский край,Новороссийск, Южная
Путин Владимир Владимирович,34461,Краснодарский край,Новороссийск, Южная
Собчак Ксения Анатольевна,184,Краснодарский край,Новороссийск, Южная
Сурайкин Максим Александрович,125,Краснодарский край,Новороссийск, Южная
Титов Борис Юрьевич,357,Краснодарский край,Новороссийск, Южная
Явлинский Григорий Алексеевич,234,Краснодарский край,Новороссийск, Южная
Бабурин Сергей Николаевич,105,Краснодарский край,Новороссийск, Пригородная
Грудинин Павел Николаевич,2526,Краснодарский край,Новороссийск, Пригородная
Жириновский Владимир Вольфович,1204,Краснодарский край,Новороссийск, Пригородная
Путин Владимир Владимирович,30632,Краснодарский край,Новороссийск, Пригородная
Собчак Ксения Анатольевна,197,Краснодарский край,Новороссийск, Пригородная
Сурайкин Максим Александрович,114,Краснодарский край,Новороссийск, Пригородная
Титов Борис Юрьевич,526,Краснодарский край,Новороссийск, Пригородная
Явлинский Григорий Алексеевич,122,Краснодарский край,Новороссийск, Пригородная
Бабурин Сергей Николаевич,598,Краснодарский край,Краснодар, Калининская
Грудинин Павел Николаевич,13202,Краснодарский край,Краснодар, Калининская
Жириновский Владимир Вольфович,4422,Краснодарский край,Краснодар, Калининская
Путин Владимир Владимирович,66717,Краснодарский край,Краснодар, Калининская
Собчак Ксения Анатольевна,2006,Краснодарский край,Краснодар, Калининская
Сурайкин Максим Александрович,527,Краснодарский край,Краснодар, Калининская
Титов Борис Юрьевич,1181,Краснодарский край,Краснодар, Калининская
Явлинский Григорий Алексеевич,761,Краснодарский край,Краснодар, Калининская
Бабурин Сергей Николаевич,64,Красноярский край,Абанская
Грудинин Павел Николаевич,1290,Красноярский край,Абанская
Жириновский Владимир Вольфович,889,Красноярский край,Абанская
Путин Владимир Владимирович,7673,Красноярский край,Абанская
Собчак Ксения Анатольевна,83,Красноярский край,Абанская
Сурайкин Максим Александрович,82,Красноярский край,Абанская
Титов Борис Юрьевич,35,Красноярский край,Абанская
Явлинский Григорий Алексеевич,24,Красноярский край,Абанская
Бабурин Сергей Николаевич,37,Красноярский край,Ачинская
Грудинин Павел Николаевич,1185,Красноярский край,Ачинская
Жириновский Владимир Вольфович,771,Красноярский край,Ачинская
Путин Владимир Владимирович,5550,Красноярский край,Ачинская
Собчак Ксения Анатольевна,50,Красноярский край,Ачинская
Сурайкин Максим Александрович,43,Красноярский край,Ачинская
Титов Борис Юрьевич,25,Красноярский край,Ачинская
Явлинский Григорий Алексеевич,30,Красноярский край,Ачинская
Бабурин Сергей Николаевич,304,Красноярский край,Ачинская городская
Грудинин Павел Николаевич,7464,Красноярский край,Ачинская городская
Жириновский Владимир Вольфович,4214,Красноярский край,Ачинская городская
Путин Владимир Владимирович,34115,Красноярский край,Ачинская городская
Собчак Ксения Анатольевна,704,Красноярский край,Ачинская городская
Сурайкин Максим Александрович,309,Красноярский край,Ачинская городская
Титов Борис Юрьевич,272,Красноярский край,Ачинская городская
Явлинский Григорий Алексеевич,335,Красноярский край,Ачинская городская
Бабурин Сергей Николаевич,66,Красноярский край,Балахтинская
Грудинин Павел Николаевич,1166,Красноярский край,Балахтинская
Жириновский Владимир Вольфович,873,Красноярский край,Балахтинская
Путин Владимир Владимирович,8806,Красноярский край,Балахтинская
Собчак Ксения Анатольевна,83,Красноярский край,Балахтинская
Сурайкин Максим Александрович,57,Красноярский край,Балахтинская
Титов Борис Юрьевич,37,Красноярский край,Балахтинская
Явлинский Григорий Алексеевич,30,Красноярский край,Балахтинская
Бабурин Сергей Николаевич,77,Красноярский край,Березовская
Грудинин Павел Николаевич,1926,Красноярский край,Березовская
Жириновский Владимир Вольфович,1389,Красноярский край,Березовская
Путин Владимир Владимирович,12445,Красноярский край,Березовская
Собчак Ксения Анатольевна,209,Красноярский край,Березовская
Сурайкин Максим Александрович,95,Красноярский край,Березовская
Титов Борис Юрьевич,75,Красноярский край,Березовская
Явлинский Григорий Алексеевич,97,Красноярский край,Березовская
Бабурин Сергей Николаевич,27,Красноярский край,Бирилюсская
Грудинин Павел Николаевич,482,Красноярский край,Бирилюсская
Жириновский Владимир Вольфович,381,Красноярский край,Бирилюсская
Путин Владимир Владимирович,3583,Красноярский край,Бирилюсская
Собчак Ксения Анатольевна,35,Красноярский край,Бирилюсская
Сурайкин Максим Александрович,34,Красноярский край,Бирилюсская
Титов Борис Юрьевич,18,Красноярский край,Бирилюсская
Явлинский Григорий Алексеевич,15,Красноярский край,Бирилюсская
Бабурин Сергей Николаевич,25,Красноярский край,Боготольская
Грудинин Павел Николаевич,544,Красноярский край,Боготольская
Жириновский Владимир Вольфович,333,Красноярский край,Боготольская
Путин Владимир Владимирович,3291,Красноярский край,Боготольская
Собчак Ксения Анатольевна,21,Красноярский край,Боготольская
Сурайкин Максим Александрович,30,Красноярский край,Боготольская
Титов Борис Юрьевич,11,Красноярский край,Боготольская
Явлинский Григорий Алексеевич,5,Красноярский край,Боготольская
Бабурин Сергей Николаевич,46,Красноярский край,Боготольская городская
Грудинин Павел Николаевич,1542,Красноярский край,Боготольская городская
Жириновский Владимир Вольфович,744,Красноярский край,Боготольская городская
Путин Владимир Владимирович,6013,Красноярский край,Боготольская городская
Собчак Ксения Анатольевна,95,Красноярский край,Боготольская городская
Сурайкин Максим Александрович,61,Красноярский край,Боготольская городская
Титов Борис Юрьевич,37,Красноярский край,Боготольская городская
Явлинский Григорий Алексеевич,38,Красноярский край,Боготольская городская
Бабурин Сергей Николаевич,126,Красноярский край,Богучанская
Грудинин Павел Николаевич,3225,Красноярский край,Богучанская
Жириновский Владимир Вольфович,1588,Красноярский край,Богучанская
Путин Владимир Владимирович,13698,Красноярский край,Богучанская
Собчак Ксения Анатольевна,170,Красноярский край,Богучанская
Сурайкин Максим Александрович,117,Красноярский край,Богучанская
Титов Борис Юрьевич,73,Красноярский край,Богучанская
Явлинский Григорий Алексеевич,76,Красноярский край,Богучанская
Бабурин Сергей Николаевич,52,Красноярский край,Большемуртинская
Грудинин Павел Николаевич,872,Красноярский край,Большемуртинская
Жириновский Владимир Вольфович,629,Красноярский край,Большемуртинская
Путин Владимир Владимирович,7154,Красноярский край,Большемуртинская
Собчак Ксения Анатольевна,76,Красноярский край,Большемуртинская
Сурайкин Максим Александрович,63,Красноярский край,Большемуртинская
Титов Борис Юрьевич,28,Красноярский край,Большемуртинская
Явлинский Григорий Алексеевич,24,Красноярский край,Большемуртинская
Бабурин Сергей Николаевич,33,Красноярский край,Большеулуйская
Грудинин Павел Николаевич,525,Красноярский край,Большеулуйская
Жириновский Владимир Вольфович,414,Красноярский край,Большеулуйская
Путин Владимир Владимирович,3161,Красноярский край,Большеулуйская
Собчак Ксения Анатольевна,45,Красноярский край,Большеулуйская
Сурайкин Максим Александрович,29,Красноярский край,Большеулуйская
Титов Борис Юрьевич,16,Красноярский край,Большеулуйская
Явлинский Григорий Алексеевич,13,Красноярский край,Большеулуйская
Бабурин Сергей Николаевич,46,Красноярский край,Бородинская городская
Грудинин Павел Николаевич,1424,Красноярский край,Бородинская городская
Жириновский Владимир Вольфович,620,Красноярский край,Бородинская городская
Путин Владимир Владимирович,6205,Красноярский край,Бородинская городская
Собчак Ксения Анатольевна,83,Красноярский край,Бородинская городская
Сурайкин Максим Александрович,48,Красноярский край,Бородинская городская
Титов Борис Юрьевич,38,Красноярский край,Бородинская городская
Явлинский Григорий Алексеевич,42,Красноярский край,Бородинская городская
Бабурин Сергей Николаевич,44,Красноярский край,Дзержинская
Грудинин Павел Николаевич,896,Красноярский край,Дзержинская
Жириновский Владимир Вольфович,638,Красноярский край,Дзержинская
Путин Владимир Владимирович,5684,Красноярский край,Дзержинская
Собчак Ксения Анатольевна,63,Красноярский край,Дзержинская
Сурайкин Максим Александрович,57,Красноярский край,Дзержинская
Титов Борис Юрьевич,18,Красноярский край,Дзержинская
Явлинский Григорий Алексеевич,21,Красноярский край,Дзержинская
Бабурин Сергей Николаевич,106,Красноярский край,Дивногорская городская
Грудинин Павел Николаевич,1924,Красноярский край,Дивногорская городская
Жириновский Владимир Вольфович,1038,Красноярский край,Дивногорская городская
Путин Владимир Владимирович,11461,Красноярский край,Дивногорская городская
Собчак Ксения Анатольевна,252,Красноярский край,Дивногорская городская
Сурайкин Максим Александрович,97,Красноярский край,Дивногорская городская
Титов Борис Юрьевич,133,Красноярский край,Дивногорская городская
Явлинский Григорий Алексеевич,121,Красноярский край,Дивногорская городская
Бабурин Сергей Николаевич,135,Красноярский край,Емельяновская
Грудинин Павел Николаевич,2860,Красноярский край,Емельяновская
Жириновский Владимир Вольфович,1469,Красноярский край,Емельяновская
Путин Владимир Владимирович,16331,Красноярский край,Емельяновская
Собчак Ксения Анатольевна,323,Красноярский край,Емельяновская
Сурайкин Максим Александрович,139,Красноярский край,Емельяновская
Титов Борис Юрьевич,137,Красноярский край,Емельяновская
Явлинский Григорий Алексеевич,128,Красноярский край,Емельяновская
Бабурин Сергей Николаевич,60,Красноярский край,Енисейская
Грудинин Павел Николаевич,1199,Красноярский край,Енисейская
Жириновский Владимир Вольфович,1047,Красноярский край,Енисейская
Путин Владимир Владимирович,8277,Красноярский край,Енисейская
Собчак Ксения Анатольевна,100,Красноярский край,Енисейская
Сурайкин Максим Александрович,63,Красноярский край,Енисейская
Титов Борис Юрьевич,50,Красноярский край,Енисейская
Явлинский Григорий Алексеевич,45,Красноярский край,Енисейская
Бабурин Сергей Николаевич,57,Красноярский край,Енисейская городская
Грудинин Павел Николаевич,1256,Красноярский край,Енисейская городская
Жириновский Владимир Вольфович,717,Красноярский край,Енисейская городская
Путин Владимир Владимирович,5646,Красноярский край,Енисейская городская
Собчак Ксения Анатольевна,81,Красноярский край,Енисейская городская
Сурайкин Максим Александрович,52,Красноярский край,Енисейская городская
Титов Борис Юрьевич,50,Красноярский край,Енисейская городская
Явлинский Григорий Алексеевич,48,Красноярский край,Енисейская городская
Бабурин Сергей Николаевич,56,Красноярский край,Ермаковская
Грудинин Павел Николаевич,1275,Красноярский край,Ермаковская
Жириновский Владимир Вольфович,887,Красноярский край,Ермаковская
Путин Владимир Владимирович,7530,Красноярский край,Ермаковская
Собчак Ксения Анатольевна,88,Красноярский край,Ермаковская
Сурайкин Максим Александрович,73,Красноярский край,Ермаковская
Титов Борис Юрьевич,42,Красноярский край,Ермаковская
Явлинский Григорий Алексеевич,25,Красноярский край,Ермаковская
Бабурин Сергей Николаевич,365,Красноярский край,Железногорская городская
Грудинин Павел Николаевич,7394,Красноярский край,Железногорская городская
Жириновский Владимир Вольфович,4029,Красноярский край,Железногорская городская
Путин Владимир Владимирович,35246,Красноярский край,Железногорская городская
Собчак Ксения Анатольевна,1028,Красноярский край,Железногорская городская
Сурайкин Максим Александрович,324,Красноярский край,Железногорская городская
Титов Борис Юрьевич,402,Красноярский край,Железногорская городская
Явлинский Григорий Алексеевич,623,Красноярский край,Железногорская городская
Бабурин Сергей Николаевич,293,Красноярский край,Зеленогорская городская
Грудинин Павел Николаевич,5492,Красноярский край,Зеленогорская городская
Жириновский Владимир Вольфович,2545,Красноярский край,Зеленогорская городская
Путин Владимир Владимирович,22175,Красноярский край,Зеленогорская городская
Собчак Ксения Анатольевна,644,Красноярский край,Зеленогорская городская
Сурайкин Максим Александрович,264,Красноярский край,Зеленогорская городская
Титов Борис Юрьевич,274,Красноярский край,Зеленогорская городская
Явлинский Григорий Алексеевич,340,Красноярский край,Зеленогорская городская
Бабурин Сергей Николаевич,34,Красноярский край,Идринская
Грудинин Павел Николаевич,692,Красноярский край,Идринская
Жириновский Владимир Вольфович,464,Красноярский край,Идринская
Путин Владимир Владимирович,3992,Красноярский край,Идринская
Собчак Ксения Анатольевна,34,Красноярский край,Идринская
Сурайкин Максим Александрович,48,Красноярский край,Идринская
Титов Борис Юрьевич,16,Красноярский край,Идринская
Явлинский Григорий Алексеевич,10,Красноярский край,Идринская
Бабурин Сергей Николаевич,60,Красноярский край,Иланская
Грудинин Павел Николаевич,1544,Красноярский край,Иланская
Жириновский Владимир Вольфович,984,Красноярский край,Иланская
Путин Владимир Владимирович,7498,Красноярский край,Иланская
Собчак Ксения Анатольевна,83,Красноярский край,Иланская
Сурайкин Максим Александрович,79,Красноярский край,Иланская
Титов Борис Юрьевич,45,Красноярский край,Иланская
Явлинский Григорий Алексеевич,36,Красноярский край,Иланская
Бабурин Сергей Николаевич,34,Красноярский край,Ирбейская
Грудинин Павел Николаевич,713,Красноярский край,Ирбейская
Жириновский Владимир Вольфович,624,Красноярский край,Ирбейская
Путин Владимир Владимирович,4939,Красноярский край,Ирбейская
Собчак Ксения Анатольевна,56,Красноярский край,Ирбейская
Сурайкин Максим Александрович,40,Красноярский край,Ирбейская
Титов Борис Юрьевич,19,Красноярский край,Ирбейская
Явлинский Григорий Алексеевич,10,Красноярский край,Ирбейская
Бабурин Сергей Николаевич,35,Красноярский край,Казачинская
Грудинин Павел Николаевич,657,Красноярский край,Казачинская
Жириновский Владимир Вольфович,450,Красноярский край,Казачинская
Путин Владимир Владимирович,3965,Красноярский край,Казачинская
Собчак Ксения Анатольевна,42,Красноярский край,Казачинская
Сурайкин Максим Александрович,39,Красноярский край,Казачинская
Титов Борис Юрьевич,20,Красноярский край,Казачинская
Явлинский Григорий Алексеевич,16,Красноярский край,Казачинская
Бабурин Сергей Николаевич,56,Красноярский край,Канская
Грудинин Павел Николаевич,1152,Красноярский край,Канская
Жириновский Владимир Вольфович,904,Красноярский край,Канская
Путин Владимир Владимирович,8271,Красноярский край,Канская
Собчак Ксения Анатольевна,75,Красноярский край,Канская
Сурайкин Максим Александрович,71,Красноярский край,Канская
Титов Борис Юрьевич,30,Красноярский край,Канская
Явлинский Григорий Алексеевич,22,Красноярский край,Канская
Бабурин Сергей Николаевич,213,Красноярский край,Канская городская
Грудинин Павел Николаевич,4921,Красноярский край,Канская городская
Жириновский Владимир Вольфович,2496,Красноярский край,Канская городская
Путин Владимир Владимирович,25350,Красноярский край,Канская городская
Собчак Ксения Анатольевна,361,Красноярский край,Канская городская
Сурайкин Максим Александрович,255,Красноярский край,Канская городская
Титов Борис Юрьевич,171,Красноярский край,Канская городская
Явлинский Григорий Алексеевич,173,Красноярский край,Канская городская
Бабурин Сергей Николаевич,48,Красноярский край,Каратузская
Грудинин Павел Николаевич,1063,Красноярский край,Каратузская
Жириновский Владимир Вольфович,740,Красноярский край,Каратузская
Путин Владимир Владимирович,6856,Красноярский край,Каратузская
Собчак Ксения Анатольевна,62,Красноярский край,Каратузская
Сурайкин Максим Александрович,64,Красноярский край,Каратузская
Титов Борис Юрьевич,40,Красноярский край,Каратузская
Явлинский Григорий Алексеевич,35,Красноярский край,Каратузская
Бабурин Сергей Николаевич,10,Красноярский край,Кедровая поселковая
Грудинин Павел Николаевич,256,Красноярский край,Кедровая поселковая
Жириновский Владимир Вольфович,160,Красноярский край,Кедровая поселковая
Путин Владимир Владимирович,1406,Красноярский край,Кедровая поселковая
Собчак Ксения Анатольевна,20,Красноярский край,Кедровая поселковая
Сурайкин Максим Александрович,11,Красноярский край,Кедровая поселковая
Титов Борис Юрьевич,10,Красноярский край,Кедровая поселковая
Явлинский Григорий Алексеевич,9,Красноярский край,Кедровая поселковая
Бабурин Сергей Николаевич,45,Красноярский край,Кежемская
Грудинин Павел Николаевич,1353,Красноярский край,Кежемская
Жириновский Владимир Вольфович,702,Красноярский край,Кежемская
Путин Владимир Владимирович,6166,Красноярский край,Кежемская
Собчак Ксения Анатольевна,74,Красноярский край,Кежемская
Сурайкин Максим Александрович,63,Красноярский край,Кежемская
Титов Борис Юрьевич,40,Красноярский край,Кежемская
Явлинский Григорий Алексеевич,31,Красноярский край,Кежемская
Бабурин Сергей Николаевич,32,Красноярский край,Козульская
Грудинин Павел Николаевич,979,Красноярский край,Козульская
Жириновский Владимир Вольфович,754,Красноярский край,Козульская
Путин Владимир Владимирович,5044,Красноярский край,Козульская
Собчак Ксения Анатольевна,71,Красноярский край,Козульская
Сурайкин Максим Александрович,37,Красноярский край,Козульская
Титов Борис Юрьевич,32,Красноярский край,Козульская
Явлинский Григорий Алексеевич,24,Красноярский край,Козульская
Бабурин Сергей Николаевич,40,Красноярский край,Краснотуранская
Грудинин Павел Николаевич,971,Красноярский край,Краснотуранская
Жириновский Владимир Вольфович,490,Красноярский край,Краснотуранская
Путин Владимир Владимирович,5279,Красноярский край,Краснотуранская
Собчак Ксения Анатольевна,46,Красноярский край,Краснотуранская
Сурайкин Максим Александрович,45,Красноярский край,Краснотуранская
Титов Борис Юрьевич,20,Красноярский край,Краснотуранская
Явлинский Григорий Алексеевич,21,Красноярский край,Краснотуранская
Бабурин Сергей Николаевич,295,Красноярский край,Красноярск, Железнодорожная
Грудинин Павел Николаевич,4826,Красноярский край,Красноярск, Железнодорожная
Жириновский Владимир Вольфович,2115,Красноярский край,Красноярск, Железнодорожная
Путин Владимир Владимирович,29260,Красноярский край,Красноярск, Железнодорожная
Собчак Ксения Анатольевна,1169,Красноярский край,Красноярск, Железнодорожная
Сурайкин Максим Александрович,282,Красноярский край,Красноярск, Железнодорожная
Титов Борис Юрьевич,359,Красноярский край,Красноярск, Железнодорожная
Явлинский Григорий Алексеевич,749,Красноярский край,Красноярск, Железнодорожная
Бабурин Сергей Николаевич,293,Красноярский край,Красноярск, Кировская
Грудинин Павел Николаевич,5465,Красноярский край,Красноярск, Кировская
Жириновский Владимир Вольфович,3120,Красноярский край,Красноярск, Кировская
Путин Владимир Владимирович,34924,Красноярский край,Красноярск, Кировская
Собчак Ксения Анатольевна,978,Красноярский край,Красноярск, Кировская
Сурайкин Максим Александрович,329,Красноярский край,Красноярск, Кировская
Титов Борис Юрьевич,339,Красноярский край,Красноярск, Кировская
Явлинский Григорий Алексеевич,642,Красноярский край,Красноярск, Кировская
Бабурин Сергей Николаевич,317,Красноярский край,Красноярск, Ленинская
Грудинин Павел Николаевич,6234,Красноярский край,Красноярск, Ленинская
Жириновский Владимир Вольфович,3833,Красноярский край,Красноярск, Ленинская
Путин Владимир Владимирович,43445,Красноярский край,Красноярск, Ленинская
Собчак Ксения Анатольевна,1013,Красноярский край,Красноярск, Ленинская
Сурайкин Максим Александрович,371,Красноярский край,Красноярск, Ленинская
Титов Борис Юрьевич,391,Красноярский край,Красноярск, Ленинская
Явлинский Григорий Алексеевич,773,Красноярский край,Красноярск, Ленинская
Бабурин Сергей Николаевич,455,Красноярский край,Красноярск, Октябрьская
Грудинин Павел Николаевич,9071,Красноярский край,Красноярск, Октябрьская
